1.0.0.2 70.98.110.52 N 0 0.000 9 17 192.168.1.5 1519323914 1519323914 AU US
1.0.0.6 70.98.110.52 N 0 0.000 7 17 192.168.1.5 1519404511 1519404511 AU US
1.1.0.16 185.20.66.152 Y 0 0.000 1 16 89.207.104.62 1519231177 1519231177 CN IT
1.1.0.4 185.20.67.103 Y 0 0.000 1 17 192.168.33.8 1519399708 1519399708 CN IT
1.1.1.1 101.53.65.194 N 0 0.127 5 16 128.208.4.133 1519233996 1519233996 AU KR
1.1.1.1 101.53.65.198 N 0 0.000 14 15 213.254.227.26 1519215455 1519215455 AU KR
1.1.1.1 101.53.65.202 N 0 0.000 6 18 192.168.0.198 1518936996 1518936996 AU KR
1.1.1.1 101.53.65.206 N 0 0.000 4 14 88.81.224.210 1519493201 1519493201 AU KR
1.1.1.1 180.94.81.90 N 0 0.000 13 7 64.71.191.54 1518852210 1518852210 AU AF
1.1.1.1 202.121.166.15 Y 0 0.000 1 22 96.127.255.96 1519467602 1519467602 AU CN
1.1.1.1 202.121.166.221 Y 0 0.176 1 13 128.139.197.127 1519457347 1519457347 AU CN
1.1.1.1 202.121.166.31 Y 0 0.148 1 27 202.52.0.24 1518690060 1518690060 AU CN
1.1.1.1 203.173.100.110 Y 0 0.000 1 17 10.147.103.115 1519035925 1519035925 AU KR
1.1.1.1 203.173.100.194 N 1 0.000 13 14 88.81.224.210 1518673083 1518673083 AU KR
1.1.1.1 203.173.111.1 Y 0 1.094 1 25 10.0.90.30 1519415786 1519415786 AU KR
1.1.1.1 203.173.111.2 Y 1 4.814 1 15 213.254.227.26 1518875904 1518875904 AU KR
1.1.1.1 203.173.97.129 Y 0 0.000 1 18 213.46.228.228 1519050754 1519050754 AU KR
1.1.1.1 203.215.34.121 Y 0 0.037 1 10 193.105.163.184 1519712989 1519712989 AU AF
1.1.1.1 203.230.208.195 N 0 0.000 5 13 10.147.103.115 1519195299 1519216880 AU KR
1.1.1.1 50.50.50.2 N 0 0.000 3 18 192.168.3.40 1519384645 1519384645 AU US
1.1.1.1 60.199.237.125 N 0 0.000 14 9 202.6.102.35 1518754385 1518754385 AU TW
1.1.1.1 61.251.179.66 N 0 0.000 9 14 88.81.224.210 1519071175 1519071175 AU KR
1.1.1.1 61.251.179.70 N 0 0.000 9 13 149.20.4.11 1519092374 1519092374 AU KR
1.1.1.1 61.251.179.82 N 0 0.000 9 14 113.197.9.170 1519621545 1519621545 AU KR
1.1.1.1 61.251.179.86 N 0 0.000 6 17 196.10.53.6 1519675952 1519675952 AU KR
1.1.1.1 61.251.187.171 Y 1 0.296 1 18 134.197.113.5 1519407348 1519407348 AU KR
1.1.1.10 124.243.36.31 Y 1 0.000 1 15 192.168.0.110 1519791788 1519791788 AU KR
1.1.1.10 124.243.36.50 Y 1 16.764 1 21 65.74.16.170 1519630805 1519630805 AU KR
1.1.1.10 124.243.36.54 Y 1 0.265 1 17 173.243.202.18 1519873548 1519873548 AU KR
1.1.1.10 192.188.170.114 N 0 0.000 21 7 213.254.227.26 1519634075 1519634075 AU US
1.1.1.10 192.188.170.120 Y 0 0.170 1 17 199.168.131.51 1519092833 1519092833 AU US
1.1.1.11 101.102.224.141 Y 0 0.000 1 14 192.168.178.12 1519145039 1519145039 AU JP
1.1.1.11 101.102.224.179 Y 0 0.000 1 12 192.168.3.40 1519032553 1519032553 AU JP
1.1.1.11 101.102.224.22 Y 0 0.101 2 12 164.113.198.23 1519674143 1519674143 AU JP
1.1.1.11 101.102.224.29 Y 0 0.296 1 12 164.113.198.23 1519574072 1519574072 AU JP
1.1.1.11 101.102.224.89 Y 0 14.434 1 15 10.0.90.30 1518731165 1518731165 AU JP
1.1.1.12 101.102.225.112 Y 0 0.000 1 14 200.136.34.2 1519829065 1519829065 AU JP
1.1.1.12 101.102.225.132 Y 0 0.093 1 16 10.0.0.5 1518962857 1518962857 AU JP
1.1.1.12 101.102.225.22 Y 0 1.061 1 10 192.168.10.12 1519568454 1519568454 AU JP
1.1.1.12 101.102.225.243 Y 0 0.000 1 9 128.139.197.127 1519718709 1519718709 AU JP
1.1.1.12 101.102.225.244 Y 0 0.246 1 12 129.119.99.169 1519001517 1519001517 AU JP
1.1.1.12 101.102.225.250 Y 0 0.000 1 14 193.1.101.205 1519224533 1519224533 AU JP
1.1.1.12 101.102.225.35 Y 0 0.446 1 13 196.192.16.12 1519106609 1519106609 AU JP
1.1.1.2 1.1.6.6 N 0 0.000 2 17 129.119.99.169 1519400887 1519400887 AU CN
1.1.1.2 1.209.153.156 Y 0 0.000 1 15 192.75.151.5 1519841573 1519841573 AU KR
1.1.1.2 1.209.153.199 Y 0 0.000 1 22 192.168.20.10 1519103933 1519103933 AU KR
1.1.1.2 1.209.153.59 Y 0 0.000 1 18 129.82.138.43 1519363497 1519363497 AU KR
1.1.1.2 1.209.154.118 Y 0 9.175 1 15 192.168.0.106 1519890217 1519890217 AU KR
1.1.1.2 1.209.154.47 Y 0 0.000 1 16 192.168.1.147 1519900748 1519900748 AU KR
1.1.1.2 1.251.44.138 Y 0 0.000 1 23 192.136.136.30 1519006691 1519006691 AU KR
